time,stamp_secs,stamp_nsecs,level,name,msg,file,function,line
2026/06/04 15:16:11.122110157,1780596971,121937054,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181611.10,04,06,2026,00,00*6D",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.123252717,1780596971,123061078,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181611.10,2248.9069,S,04703.6548,W,1,32,1.41,634.32,M,-4.166,M,,*74",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:11.124159892,1780596971,123974037,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181611.10,A,2248.9069,S,04703.6548,W,19.6756,356.097,040626,-21.3,W*50",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:11.124764413,1780596971,124559424,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,12,14,15,19,20,22,24,30,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.125361449,1780596971,125220152,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181611.10,4.368,4.569,0.849,,,,*4C",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.221495651,1780596971,221317589,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181611.20,04,06,2026,00,00*6E",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.222251017,1780596971,222196195,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181611.20,2248.9063,S,04703.6548,W,1,32,1.41,634.29,M,-4.166,M,,*77",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:11.223068424,1780596971,222975420,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181611.20,A,2248.9063,S,04703.6548,W,19.6756,355.968,040626,-21.3,W*53",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:11.223645496,1780596971,223555711,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,12,14,15,19,20,22,24,30,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.224181794,1780596971,224128801,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181611.20,4.368,4.569,0.849,,,,*4F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
